PosX,PosY,VelX,VelY,Angulo,VelAng,FootL,FootR,Action
-0.00517025,1.4244068,-0.254483,0.2868552,0.0036848974,0.012572132,0.0,0.0,3
-0.0076404572,1.4302526,-0.245922,0.25981018,0.002596334,-0.021773364,0.0,0.0,3
-0.010110664,1.4354982,-0.2459182,0.23313907,0.0015082825,-0.021763071,0.0,0.0,0
-0.012656784,1.4401333,-0.2554526,0.20600839,0.0023328327,0.016492723,0.0,0.0,1
-0.015202999,1.4441686,-0.25545567,0.1793402,0.0031564094,0.016473323,0.0,0.0,0
-0.017749215,1.4476038,-0.25545847,0.15267183,0.0039802925,0.016479174,0.0,0.0,0
-0.020228004,1.450443,-0.24698813,0.12619454,0.0031050653,-0.017506216,0.0,0.0,3
-0.022798633,1.452683,-0.25851375,0.099544086,0.004541875,0.02873895,0.0,0.0,1
-0.02551508,1.4554851,-0.27242154,0.12453399,0.0053007607,0.015179264,0.0,0.0,2
-0.028248023,1.4589257,-0.2740056,0.15291196,0.0060033314,0.014052729,0.0,0.0,2
-0.030981064,1.4617661,-0.27400774,0.126238,0.0067056036,0.014046468,0.0,0.0,0
-0.03374939,1.4653254,-0.2774057,0.15818174,0.007268075,0.01125049,0.0,0.0,2
-0.03643198,1.4682858,-0.26663512,0.13158986,0.0056714853,-0.031934764,0.0,0.0,3
-0.03911438,1.4706466,-0.26662987,0.10492633,0.0040759677,-0.03191321,0.0,0.0,0
-0.041716956,1.4724109,-0.2566279,0.07841508,0.00047645226,-0.07199669,0.0,0.0,3
-0.04431982,1.4748814,-0.25664145,0.109799236,-0.0031211448,-0.07195852,0.0,0.0,2
-0.046998978,1.4767607,-0.26622683,0.08352477,-0.0047953627,-0.03348742,0.0,0.0,1
-0.049584102,1.4780278,-0.25441933,0.056292776,-0.008836133,-0.08082273,0.0,0.0,3
-0.052140333,1.4801365,-0.25163662,0.093697175,-0.012781061,-0.07890575,0.0,0.0,2
-0.054696463,1.4816453,-0.2516257,0.06701573,-0.016725931,-0.07890435,0.0,0.0,0
-0.057252504,1.4825543,-0.25161436,0.040351093,-0.020670207,-0.078892425,0.0,0.0,0
-0.05995331,1.4834323,-0.26538366,0.038943306,-0.02532468,-0.093097486,0.0,0.0,2
-0.06258211,1.4837166,-0.25635797,0.012519702,-0.031780064,-0.12911904,0.0,0.0,3
-0.065274335,1.4834092,-0.26431477,-0.013778092,-0.03663291,-0.097065456,0.0,0.0,1
-0.06790028,1.483259,-0.25791642,-0.006799503,-0.041266415,-0.092669904,0.0,0.0,2
-0.070526406,1.4825091,-0.2579165,-0.03346796,-0.04589989,-0.09266983,0.0,0.0,0
-0.07306738,1.4821079,-0.24967408,-0.01797357,-0.05027483,-0.08749841,0.0,0.0,2
-0.07560835,1.4811068,-0.24967417,-0.04464184,-0.054649744,-0.0874983,0.0,0.0,0
-0.07807865,1.4794979,-0.24080697,-0.07174828,-0.060806897,-0.12314285,0.0,0.0,3
-0.08054896,1.4772894,-0.2408072,-0.09841812,-0.06696403,-0.123142526,0.0,0.0,0
-0.08295317,1.4744747,-0.2325149,-0.12547551,-0.07478795,-0.15647838,0.0,0.0,3
-0.08526554,1.4710608,-0.22101298,-0.15227036,-0.08491235,-0.20248827,0.0,0.0,3
